meep
time,q1,q2,tau
2,1569,,2005
4,1566,,2013
5,1566,,2012
7,1562,,2006
9,1567,,2010
11,1560,,2005
13,1572,,2005
15,1573,,1994
17,1551,,2006
19,1563,,1995
21,1563,,2005
23,1569,,1994
25,1568,,1993
27,1572,,2009
29,1562,,1994
31,1562,,1997
33,1569,,1999
35,1572,,2013
37,1573,,2006
39,1554,,1978
41,1568,,2000
43,1563,,2005
45,1563,,2003
47,1566,,2007
49,1563,,1994
51,1575,,2008
53,1568,,2021
55,1573,,2006
57,1562,,1992
59,1563,,1997
61,1574,,2013
63,1573,,2012
65,1562,,1999
67,1573,,2013
69,1566,,1986
71,1563,,1999
73,1561,,2013
75,1572,,2007
77,1554,,2004
79,1558,,2016
81,1562,,2007
83,1575,,2005
85,1581,,2013
87,1573,,2007
89,1551,,2009
91,1565,,2007
93,1566,,1994
95,1569,,1995
97,1551,,1994
99,1569,,20003101,1562,,1998
103,1574,,2012
105,1555,,1999
107,1573,,1995
109,1572,,2002
111,1580,,2013
113,1562,,2008
115,1567,,2010
117,1562,,2010
119,1568,,2013
121,1569,,2005
123,1562,,1995
125,1580,,1995
127,1554,,2005
129,1572,,2006
131,1567,,2000
133,1573,,1995
135,1562,,2000
137,1572,,2010
139,1573,,2016
141,1569,,2009
143,1570,,1992
145,1567,,2003
147,1568,,2000
149,1572,,2009
151,1568,,1994
153,1573,,2024
155,1563,,1995
157,1562,,2004
159,1566,,1994
161,1573,,2003
163,1562,,2009
165,1573,,1999
167,1575,,2005
169,1572,,2007
171,1574,,2008
173,1563,,1995
175,1562,,2005
177,1569,,2003
179,1563,,2005
181,1562,,1992
183,1573,,1994
185,1567,,1994
187,1562,,1995
189,1568,,1999
191,1573,,1999
193,1562,,1995
195,1573,,2008
197,1573,,2012
199,1563,,2012
201,1562,,1994
203,1567,,2015
205,1562,,2004
207,1563,,1994
209,1573,,1991
211,1562,,1995
213,1572,,2003
215,1581,,2013
217,1573,,2025
219,1567,,2015
221,1566,,2007
223,1580,,2021
225,1573,,1995
227,1573,,2013
229,1550,,1982
231,1572,,1995
233,1569,,2005
235,1566,,2003
237,1572,,2013
239,1573,,2015
241,1573,,2002
243,1563,,1992
245,1573,,2019
247,1566,,2015
249,1580,,1991
251,1562,,1990
253,1562,,2002
255,1572,,2016
257,1562,,1993
259,1573,,1994
261,1550,,1994
263,1566,,2003
265,1562,,1999
267,1580,,2018
269,1570,,2007
271,1581,,2015
273,1561,,1995
275,1573,,2015
277,1569,,2008
279,1572,,2007
281,1581,,2014
283,1575,,2009
285,1572,,2017
287,1562,,2007
289,1572,,2004
291,1566,,1993
293,1573,,1995
295,1574,,2015
297,1561,,1996
299,1572,,2002
301,1577,,2013
303,1573,,1999
305,1573,,1995
307,1563,,1995
309,1554,,1995
311,1573,,1992
313,1563,,1995
315,1563,,1998
317,1572,,2008
319,1567,,2002
321,1573,,2013
323,1567,,2005
325,1551,,1992
327,1573,,2005
329,1573,,2009
331,1562,,1993
333,1566,,2013
335,1573,,2015
337,1569,,1999
339,1569,,2014
341,1551,,1998
343,1562,,2014
345,1568,,1994
347,1573,,2009
349,1573,,2017
351,1562,,1995
353,1569,,2004
355,1584,,2015
357,1573,,2005
359,1563,,2007
361,1570,,2006
363,1569,,2005
365,1568,,2006
367,1572,,2000
369,1581,,2020
371,1572,,1998
373,1569,,1995
375,1551,,1994
377,1575,,2002
379,1565,,2005
381,1562,,2005
383,1567,,1995
385,1560,,1995
387,1573,,2015
389,1563,,1995
391,1573,,2019
393,1550,,1995
395,1573,,1993
397,1562,,1995
399,1566,,2006
401,1573,,1994
403,1562,,1994
405,1573,,2006
407,1565,,2012
409,1573,,2014
411,1560,,2002
413,1550,,1982
415,1567,,2014
417,1550,,2005
419,1562,,1992
421,1550,,2007
423,1573,,2006
425,1573,,2016
427,1554,,1986
429,1566,,1993
431,1573,,2019
433,1554,,1999
435,1557,,2006
437,1573,,1993
439,1571,,2003
441,1569,,2005
443,1562,,2005
445,1573,,2025
447,1569,,2013
449,1575,,2013
451,1570,,2005
453,1573,,1994
455,1551,,1994
457,1577,,1997
459,1572,,2015
461,1573,,1995
463,1566,,2007
465,1566,,2002
467,1573,,2007
469,1568,,2026
471,1573,,2015
473,1554,,1994
475,1573,,2003
477,1573,,2013
479,1573,,2020
481,1573,,2007
483,1554,,2007
485,1573,,2024
487,1567,,2015
489,1562,,1997
491,1573,,2007
493,1573,,2005
495,1562,,1995
497,1562,,2003
499,1569,,2003
501,1569,,2014
503,1567,,2003
505,1575,,2016
507,1568,,2004
509,1569,,2004
511,1562,,1997
513,1562,,1994
515,1572,,2007
517,1562,,2005
519,1569,,2007
521,1562,,2002
523,1562,,2002
525,1567,,2023
527,1560,,2019
529,1569,,2001
531,1567,,2014
533,1562,,2012
535,1569,,2013
537,1560,,1994
539,1554,,1985
541,1551,,2015
543,1573,,2002
545,1575,,2002
547,1562,,2012
549,1562,,2005
551,1566,,2014
553,1563,,2009
555,1572,,2009
557,1550,,1998
559,1562,,2017
561,1566,,1995
563,1584,,1991
565,1560,,1997
567,1568,,1994
569,1566,,1997
571,1567,,2005
573,1573,,1996
575,1568,,2007
577,1568,,1994
579,1562,,1994
581,1569,,2004
583,1568,,2018
585,1572,,2004
587,1569,,1994
589,1561,,1982
591,1562,,1995
593,1573,,2009
595,1566,,1995
597,1562,,2015
599,1569,,1995
601,1562,,1997
603,1554,,1994
605,1562,,2002
607,1563,,2013
609,1573,,1995
611,1554,,2015
613,1573,,2002
615,1565,,2005
617,1573,,1999
619,1567,,1996
621,1561,,2012
623,1563,,2013
625,1567,,2018
627,1562,,1994
629,1566,,2002
631,1562,,2004
633,1565,,2000
635,1566,,2007
637,1565,,2002
639,1575,,1998
641,1566,,2004
643,1567,,2004
645,1572,,1993
647,1573,,2009
649,1569,,1993
651,1567,,2023
653,1573,,2003
655,1572,,2002
657,1573,,1993
659,1573,,2013
661,1572,,1992
663,1573,,2012
665,1550,,1994
667,1568,,1992
669,1573,,2009
671,1575,,1995
673,1562,,1995
675,1561,,1992
677,1554,,1992
679,1566,,2007
681,1573,,1998
683,1546,,2026
685,1565,,2018
687,1562,,2005
689,1562,,1997
691,1562,,2005
693,1562,,1997
695,1572,,2000
697,1573,,2007
699,1573,,2005
701,1569,,2009
703,1573,,2020
705,1573,,2000
707,1560,,2010
709,1567,,2015
711,1562,,2003
713,1562,,2006
715,1562,,2003
717,1567,,2008
719,1562,,2008
721,1567,,2007
723,1561,,1996
725,1572,,2010
727,1573,,1995
729,1581,,2018
731,1573,,2006
733,1567,,2003
735,1568,,2003
737,1566,,2005
739,1573,,2009
741,1568,,2019
743,1567,,2015
745,1573,,2012
747,1562,,1994
